	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_1934_0.txt	1934	0	15.62785	15.69854	14.55898	16.13882	15.49237	15.13341	13.57011	15.5209	15.58345	14.95886	15.86699	14.56895	15.63423	16.03117	15.45375	16.18018	14.90103	16.16302	15.87576	15.93688	15.52038	15.33735	16.47908	15.7382	15.50426	14.21794	15.54425
alpha_rarefaction_1934_1.txt	1934	1	15.29083	15.91891	14.73481	15.11225	15.16363	15.34911	13.932	15.35026	15.74406	15.79228	15.4917	14.40131	15.47108	15.67574	15.47894	15.70277	15.89194	15.33994	15.72819	15.5632	15.02228	15.42108	15.27938	15.81	15.50079	14.25887	15.90585
alpha_rarefaction_1934_2.txt	1934	2	15.15974	15.29429	14.60976	15.70101	15.07631	15.44005	13.44951	15.66865	15.39301	15.30267	15.48405	13.9809	15.66138	16.38618	15.40904	15.83451	15.09892	15.58743	15.39585	15.39909	15.07526	15.49022	15.8721	15.84883	14.90113	13.53231	15.53975
alpha_rarefaction_1934_3.txt	1934	3	15.38214	15.36339	14.67551	15.6107	15.37157	14.22752	13.8925	15.97307	16.23391	15.40246	14.99964	14.32769	15.90915	15.96776	15.94499	16.08978	15.7739	15.42524	15.74581	15.63227	15.58226	15.54654	16.03725	15.78362	15.3035	15.08704	15.85113
alpha_rarefaction_1934_4.txt	1934	4	14.7341	15.63075	14.15982	15.68729	14.97837	14.73446	13.69693	15.62453	16.00275	15.26507	15.13747	14.99453	16.05377	16.21136	15.56364	16.26288	15.10576	15.50483	16.10133	15.08575	15.31757	15.56552	15.88059	15.72366	14.78757	14.1279	15.87794
alpha_rarefaction_1934_5.txt	1934	5	15.18586	15.40416	14.31134	15.67083	15.58816	15.39566	13.77381	15.99744	15.79282	14.39858	15.38927	14.06508	15.32103	16.18049	15.66431	15.67325	15.5301	15.28551	16.21905	15.38766	14.6754	15.16976	15.61916	15.84739	15.10907	13.56079	15.90633
alpha_rarefaction_1934_6.txt	1934	6	15.18679	15.88482	14.09619	14.75557	15.14272	15.13016	13.34236	15.65058	15.49797	13.97448	15.54165	15.09054	15.86049	16.40876	15.38745	15.95577	15.3202	15.16232	15.51256	15.81914	15.51397	15.6164	15.55087	16.06122	15.30376	13.97362	16.03354
alpha_rarefaction_1934_7.txt	1934	7	15.10943	15.35388	14.82077	15.47419	15.47713	15.08225	13.10706	15.77546	15.44252	14.92387	15.30226	14.18798	15.7843	15.80157	15.26257	16.17889	14.82837	15.68856	15.48606	15.2484	15.96185	15.91673	15.22783	16.05459	15.1719	13.19459	16.21753
alpha_rarefaction_1934_8.txt	1934	8	14.70016	15.823	14.6038	15.48168	15.94501	14.72371	13.62962	16.23745	16.23688	15.41253	14.94291	14.22094	15.72615	15.86126	15.58103	15.90999	15.11558	15.52284	16.3226	15.55886	15.00704	15.18931	16.1099	15.623	15.14986	12.79545	15.80944
alpha_rarefaction_1934_9.txt	1934	9	15.10302	15.31277	13.5497	15.51345	15.88965	14.57404	12.9175	16.08306	16.22082	15.32648	15.33301	14.52377	15.26514	15.92438	15.67233	16.07223	15.73092	16.23994	16.10613	16.15413	14.70621	15.84935	15.55141	15.5597	15.69855	13.93893	16.17157
