	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_1934_6.txt	1934	6	150.352941176	158.0	139.272727273	145.058823529	146.8	147.8	129.5	161.058823529	151.0	143.058823529	157.833333333	149.538461538	154.0	158.75	146.142857143	157.75	144.5	149.5	151.882352941	153.157894737	152.5	149.55	146.105263158	151.55	148.454545455	147.0	165.647058824
alpha_rarefaction_1934_7.txt	1934	7	144.052631579	152.5	163.0	154.954545455	146.058823529	151.5625	129.058823529	156.555555556	148.214285714	149.5	145.5	154.0	156.875	155.6875	145.882352941	171.0	145.0	155.0	153.55	151.058823529	165.545454545	151.0	150.461538462	155.157894737	146.0	116.055555556	161.0
alpha_rarefaction_1934_8.txt	1934	8	156.111111111	158.555555556	170.076923077	150.666666667	156.0	147.789473684	132.157894737	161.6875	158.571428571	164.9375	144.75	137.666666667	162.769230769	150.0	156.333333333	157.909090909	158.368421053	154.066666667	162.0	153.909090909	151.058823529	145.5	167.75	159.333333333	147.666666667	125.4375	157.5
alpha_rarefaction_1934_9.txt	1934	9	158.461538462	152.55	141.058823529	148.230769231	162.235294118	142.153846154	123.2	160.0	160.75	145.789473684	156.545454545	158.625	144.6875	159.5	149.882352941	154.230769231	144.285714286	161.666666667	154.333333333	166.866666667	146.0	161.588235294	163.5	158.0	151.5	140.666666667	162.8
alpha_rarefaction_2415_0.txt	2415	0	146.6875	158.058823529	145.526315789	154.2	162.272727273	152.090909091	128.714285714	156.25	149.5	149.833333333	149.875	141.571428571	153.5	155.75	156.75	154.5	147.461538462	145.894736842	159.666666667	147.5	160.909090909	153.5	162.25	155.928571429	167.090909091	150.6	157.176470588
alpha_rarefaction_2415_1.txt	2415	1	144.076923077	158.0	153.0	166.1	148.5	157.076923077	130.0	151.4	159.666666667	158.2	150.875	143.545454545	151.0	163.666666667	165.125	155.428571429	156.882352941	156.5625	154.571428571	153.076923077	158.5	152.588235294	158.5	159.0	157.0	146.214285714	153.5
alpha_rarefaction_2415_2.txt	2415	2	155.909090909	154.076923077	148.157894737	150.666666667	156.2	149.461538462	131.588235294	153.076923077	156.1	151.5	158.909090909	141.913043478	150.105263158	159.461538462	154.714285714	162.5	152.2	146.4	153.571428571	160.058823529	158.111111111	148.4375	153.066666667	152.12	151.583333333	129.2	160.333333333
alpha_rarefaction_2415_3.txt	2415	3	146.0	153.647058824	142.571428571	151.142857143	147.583333333	152.0	148.75	153.75	155.5	151.588235294	157.666666667	162.090909091	152.6875	162.076923077	177.5	152.8	149.5	159.066666667	159.714285714	161.875	155.4	145.9375	148.230769231	155.230769231	186.428571429	135.5	147.0
alpha_rarefaction_2415_4.txt	2415	4	140.105263158	161.333333333	149.0	152.0	162.8	149.214285714	149.090909091	151.75	155.0	151.076923077	155.875	135.607142857	153.125	151.909090909	157.090909091	156.0	150.5	154.5	158.352941176	161.2	154.571428571	155.0	163.3	159.076923077	153.5	150.0	155.375
alpha_rarefaction_2415_5.txt	2415	5	150.2	150.8125	141.5	156.352941176	151.5625	160.909090909	137.571428571	169.1	147.909090909	150.5	153.909090909	148.875	155.666666667	162.428571429	160.461538462	161.666666667	146.25	154.545454545	157.090909091	159.769230769	163.333333333	150.333333333	154.545454545	154.0	169.0	129.461538462	156.058823529
