	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
515rcbc11	0.019239758227	0.0564249572385	0.0854610795573	0.0281499007694	0.00997371730307	0.0499693070546	0.0891151406611	0.057811205607	0.0308458809148	0.0626958537705	0.0553170313068	0.0764280389994	0.0	0.0137486515963	0.0246169341621	0.0253436298041	0.0524849366176	0.0391061152688	0.0226847685514	0.0413830300791	0.0353505253559	0.0107725334685	0.0573207144603	0.0158989457122	0.0263066877367	0.0867865380146	0.006728608805
515rcbc27	0.00884084144644	0.0567163912248	0.0722194113188	0.0284413347557	0.0102651512894	0.0502607410409	0.0790934206254	0.0443740618235	0.0322639474108	0.0492932428483	0.0556084652931	0.0642308437932	0.0137486515963	0.0	0.0249083681485	0.0267648443599	0.0527763706039	0.0405194557515	0.0229762025377	0.0416744640654	0.0356419593423	0.0122020847364	0.0576121484466	0.0161903796986	0.0277273512882	0.0870779720009	0.00702004279133
515rcbc13	0.0336871465096	0.0518652391804	0.0736630932986	0.0393096173215	0.0211334338552	0.0453570748349	0.095934278312	0.0532627641313	0.0431322299766	0.0738555703226	0.0664767478589	0.081303561215	0.0246169341621	0.0249083681485	0.0	0.0376331269258	0.0561631443799	0.0438588724055	0.0338444851035	0.0525427466312	0.0465102419081	0.0230703673022	0.0684804310124	0.0270586622644	0.038595633854	0.0979462545667	0.0178883253571
515rcbc23	0.0331499855597	0.0694411500021	0.0984772723209	0.041166093533	0.0229899100667	0.0606252998446	0.10070621663	0.0708273983706	0.0391209458607	0.0757120465341	0.0683332240704	0.0871223971705	0.0253436298041	0.0267648443599	0.0376331269258	0.0	0.0479949629013	0.0521297593846	0.035700961315	0.0490261992997	0.0483667181196	0.0237961775843	0.0679856647421	0.0289151384758	0.0215770845694	0.0998027307782	0.0197448015686
515rcbc32	0.0615551489651	0.058598785705	0.0709673425053	0.0644991489555	0.0471625515263	0.0889970260622	0.128724961029	0.0968389246146	0.0336731755503	0.0923508054904	0.0574694208831	0.102556543563	0.0524849366176	0.0527763706039	0.0561631443799	0.0479949629013	0.0	0.0619393139048	0.0617124875589	0.0774178683434	0.0743782443635	0.0509383697576	0.0595118762522	0.0549266647198	0.0489661799957	0.110836371588	0.0457563278126
515rcbc16	0.0492982341127	0.0831957613936	0.0981999723812	0.0549207049246	0.0367445214582	0.0455546692976	0.11905763718	0.0535237233494	0.0576320104952	0.0826997562183	0.0509891062946	0.0578698092621	0.0391061152688	0.0405194557515	0.0438588724055	0.0521297593846	0.0619393139048	0.0	0.0178277150836	0.0337186272577	0.0621213295111	0.037558663049	0.0840915186154	0.0426697498674	0.0530928173172	0.11355734217	0.0334994129602
515rcbc19	0.0317549808989	0.0656525081798	0.0946886304987	0.0373774517108	0.0192012682444	0.027726954214	0.101514383966	0.0356960082658	0.0412000643658	0.0719234047118	0.033161391211	0.0557331099721	0.0226847685514	0.0229762025377	0.0338444851035	0.035700961315	0.0617124875589	0.0178277150836	0.0	0.0190014517269	0.0445780762973	0.0211382016914	0.0665482654016	0.0251264966536	0.0366634682432	0.0960140889559	0.0159561597464
515rcbc9	0.0504532424266	0.0843507697076	0.113386892026	0.0560757132385	0.0378995297722	0.0467284059409	0.113723867288	0.0546974599927	0.0598983258935	0.0906216662395	0.0521628429379	0.0540903025183	0.0413830300791	0.0416744640654	0.0525427466312	0.0490261992997	0.0774178683434	0.0337186272577	0.0190014517269	0.0	0.0565910229897	0.0398364632191	0.0786370502913	0.0438247581813	0.055361729771	0.114712350484	0.0346544212741
515rcbc29	0.0444207377035	0.0468887140357	0.0763997288766	0.0181512124533	0.031867025049	0.0718626148006	0.0958422772124	0.0482976348182	0.0538658211704	0.0532621725365	0.0772103390528	0.0928613547446	0.0353505253559	0.0356419593423	0.0465102419081	0.0483667181196	0.0743782443635	0.0621213295111	0.0445780762973	0.0565910229897	0.0	0.033803958496	0.0351392939708	0.0377922534582	0.0493292250478	0.10867984576	0.0286219165509
515rcbc14	0.0131419442467	0.0471737400451	0.0763248747973	0.0187866857338	0.00842715044311	0.0406925189524	0.0831776651569	0.0485654793603	0.029298428695	0.0611492869105	0.0460614256054	0.0748805867796	0.0107725334685	0.0122020847364	0.0230703673022	0.0237961775843	0.0509383697576	0.037558663049	0.0211382016914	0.0398364632191	0.033803958496	0.0	0.0557741476003	0.00648720449473	0.0247592355169	0.0763722364423	0.00518204194504
